name;source;gender;wikidata;type
Wittelsberger Straße;;;;
Wittenberger Weg;;;;
Wolfshäuser Straße;;;;
Zelterstraße;;;;
Ziegelstraße;;;;
Zimmermannstraße;;;;
Zimmerplatzweg;;;;
Zu den Sandbeeten;;;;
Zückenberg;;;;
Zum Dankersbühl;;;;
Zum Eisenberg;;;;
Zum Elisabethbrunnen;;;;
Zum Elnhäuser Grund;;;;
Zum Heiligenberg;;;;
Zum Himmrich;;;;
Zum Hirtzborn;;;;
Zum Hohen Küppel;;;;
Zum Kalkberg;;;;
Zum Lahnberg;;;;
Zum Marienhäuschen;;;;
Zum Neuen Hieb;;;;
Zum Pfaffengrund;;;;
Zum Rosenmorgen;;;;
Zum Runden Baum;;;;
Zum Steinbruch;;;;
Zum Stempel;;;;
Zum Waldwinkel;;;;
Zum Wallgraben;;;;
Zur Aue;;;;
Zur Bergwiese;;;;
Zur Birke;;;;
Zur Burgruine;;;;
Zur Fasanerie;;;;
Zur Feldscheune;;;;
Zur Hainbuche;;;;
Zur Hainseite;;;;
Zur Hege;;;;
Zur Kalkkaute;;;;
Zur Kaute;;;;
Zur Klause;;;;
Zur Krahna;;;;
Zur Lahnaue;;;;
Zur Molle;;;;
Zur Wann;;;;
Zur Wehrholzseite;;;;
Zur Weinstraße;;;;
Zwetschenweg;;;;
Zwischenhausen;;;;
